seed,sample_index,true_class,pred_class,confidence,image_path,caption,gradcam_file
13,0,retro,feminine,0.9607922434806824,C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\FashionStyle14_v1\dataset\retro\retro_836.jpg,"The image features a woman in a white dress standing on a white carpet. The dress has a beautiful lace design and appears to be a floral print, giving it a vintage and elegant look. The woman is wearing shoes, which complete the overall stylish appearance. The white color of the dress and carpet adds a touch of sophistication to the outfit, creating a timeless and chic look. The style is likely to be categorized as vintage, as the lace and floral print elements evoke a sense of past eras.",C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\results\explainability\gradcam_llava\cross_attention\seed_13_first5\seed_13_sample_00_true_retro_pred_feminine.png
13,1,retro,girlish,0.8850603103637695,C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\FashionStyle14_v1\dataset\retro\retro_450.jpg,"The image features a woman dressed in a feminine style, wearing a pink dress that has a lace pattern on the top. She is accessorized with pink shoes and stands on a platform, possibly on a pedestal. The overall aesthetic suggests a classic, elegant, and fashionable style. The woman's attire and pose create a sense of sophistication and poise.",C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\results\explainability\gradcam_llava\cross_attention\seed_13_first5\seed_13_sample_01_true_retro_pred_girlish.png
13,2,mode,mode,0.6707494854927063,C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\FashionStyle14_v1\dataset\mode\mode_457.jpg,"In this image, a woman stands out in the crowd as she poses for a picture on a sidewalk. She is wearing a black outfit that consists of tight black pants and a black jacket with a leather jacket. The woman has a confident, stylish, and edgy look, giving the impression of a hipster vibe. 

There are multiple people in the image, forming a diverse group. Some of them have handbags, indicating that they might be out for shopping, going to a business meeting, or running errands. The presence of handbags and diverse individuals create a lively, bustling atmosphere around the woman in the black outfit.",C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\results\explainability\gradcam_llava\cross_attention\seed_13_first5\seed_13_sample_02_true_mode_pred_mode.png
13,3,mode,mode,0.9946080446243286,C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\FashionStyle14_v1\dataset\mode\mode_822.jpeg,"The image features a fashionable woman wearing white pants, a fur coat, and a brown hat as her headwear. She is walking down the street, carrying a handbag and wearing sunglasses. She appears to be stylish and confident.

The woman's outfit seems to be a mix of casual and formal elements, with the white pants and fur coat creating a unique, fashionable combination. The brown hat adds a touch of individuality to the ensemble. The handbag she is carrying further contributes to the overall stylish appearance. The sunglasses she is wearing also enhances her overall look, adding an air of elegance and sophistication to the scene.",C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\results\explainability\gradcam_llava\cross_attention\seed_13_first5\seed_13_sample_03_true_mode_pred_mode.png
13,4,retro,fairy,0.9907750487327576,C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\FashionStyle14_v1\dataset\retro\retro_430.jpg,"In the image, a young lady wearing a purple dress with a matching headband and jacket is standing on a street. The dress appears to be a floor length with a shirt underneath and a floral pattern. The woman's outfit is neat and sophisticated.

She is also carrying a handbag, which is brown in color and placed close to her body. The overall aesthetic of the image gives an impression of a stylish and fashionable young woman, possibly in her teens. The street setting adds a touch of casualness to the scene, contrasting with the formal appearance of the woman's dress.",C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\results\explainability\gradcam_llava\cross_attention\seed_13_first5\seed_13_sample_04_true_retro_pred_fairy.png
13,5,ethnic,ethnic,0.9968878626823425,C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\FashionStyle14_v1\dataset\ethnic\ethnic_371.jpg,"The image features a woman wearing a green dress, which has a colorful and patterned design. She stands next to a water feature, possibly a fountain, with her hands on her hips. The scene appears to be set outdoors.

In terms of fashion, the woman's attire seems to be inspired by a modern and ethnic style. The color combination of green and other hues, along with the patterned design of her dress, contributes to a vibrant and fashionable aesthetic. The fact that the woman is posing for the camera suggests confidence and an intention to showcase her outfit.",C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\results\explainability\gradcam_llava\cross_attention\seed_13_first5\seed_13_sample_05_true_ethnic_pred_ethnic.png
13,6,girlish,gal,0.957565188407898,C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\FashionStyle14_v1\dataset\girlish\girlish_926.jpg,"The image features a woman wearing a brown and yellow checkered dress, sitting next to a wall. She is holding her chin with one hand, giving the impression of a relaxed and casual pose. The woman is wearing a pair of black socks, which adds a contrasting element to her outfit.

The primary focus of the image is the bold, checkered pattern on the woman's dress, which gives the outfit a distinctive and classic style, reminiscent of the 1960s or 1970s. The overall aesthetic of the image is a mix of casual, retro, and hipster-inspired fashion.",C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\results\explainability\gradcam_llava\cross_attention\seed_13_first5\seed_13_sample_06_true_girlish_pred_gal.png
13,7,natural,natural,0.9973433613777161,C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\FashionStyle14_v1\dataset\natural\natural_342.jpg,"The image features a woman wearing a blue dress sitting at a wooden dining table. She is holding a cup, possibly a coffee or tea, in her hand. Two books rest on the table along with a bottle, possibly containing a beverage or condiment. 

There are three chairs around the table, one on the left, the right, and at the back. The dining table is positioned in the middle of the scene. The woman is wearing a scarf, which adds to the overall stylish appearance. The presence of books and a cup suggests a cozy, intellectual atmosphere.",C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\results\explainability\gradcam_llava\cross_attention\seed_13_first5\seed_13_sample_07_true_natural_pred_natural.png
13,8,mode,mode,0.9931093454360962,C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\FashionStyle14_v1\dataset\mode\mode_551.jpg,"The image features two women wearing identical black dresses with black and white detailing, posing in a dark room or alley. The room's walls are covered with brick, and there is a fireplace, which adds to the atmosphere of the scene. The women are standing next to each other, creating a sense of harmony and consistency in their outfits. The overall style of the dresses appears to be modern and elegant, as they complement each other's appearances. The choice of dark colors and the matching black dresses suggest a unified, coordinated fashion theme.",C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\results\explainability\gradcam_llava\cross_attention\seed_13_first5\seed_13_sample_08_true_mode_pred_mode.png
13,9,conservative,conservative,0.9079462289810181,C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\FashionStyle14_v1\dataset\conservative\conservative_503.jpg,"The image features a woman with black hair wearing a black and white suit, standing on a gray concrete floor. She appears to be confidently posing for the camera. The woman is holding a blue bag, which complements her outfit. The overall aesthetic of her appearance is sleek, modern, and professional. The suit and bag suggest a well-dressed, professional style, while the confident pose indicates a sense of self-assurance and poise.",C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\results\explainability\gradcam_llava\cross_attention\seed_13_first5\seed_13_sample_09_true_conservative_pred_conservative.png
