seed,sample_index,true_class,pred_class,confidence,image_path,caption,attention_rollout_file,cross_attention_token_file
13,0,mode,retro,0.09369925409555435,C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\FashionStyle14_v1\dataset2\mode\transparentnosc_64_mainpage_1 copy.jpg,"The image showcases a woman walking down a runway in a black dress, her top half is barely visible, giving her a sexy and confident appearance. The dress is likely to be a part of a fashion show. The woman appears to be wearing a black jacket, giving her a stylish and polished look. The overall aesthetic of the image conveys a sense of sophistication and confidence through the model's attire.",C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\results\explainability\attention_rollout_qwen\cross_attention\seed_13_first10\seed_13_sample_00_true_mode_pred_retro_rollout.png,C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\results\explainability\attention_rollout_qwen\cross_attention\seed_13_first10\seed_13_sample_00_true_mode_pred_retro_cross_attention_tokens.csv
13,1,gal,retro,0.0923088863492012,C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\FashionStyle14_v1\dataset2\gal\12751299_1518698775102278_635127373_n.jpg,"The image features a woman dressed in a pink, sleeveless dress, standing in a room with chairs and a dining table. She is holding a wine bottle and appears to be enjoying a relaxed moment, perhaps sipping a glass of wine. The room seems to be a part of a restaurant or bar setting, with chairs and a dining table placed around the area. The woman's outfit, combined with the overall ambiance, suggests a modern, casual, and stylish aesthetic. The pink color of the dress adds a touch of femininity and brightness to the scene. The presence of the wine bottle and the woman's relaxed posture imply a laid-back and social atmosphere.",C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\results\explainability\attention_rollout_qwen\cross_attention\seed_13_first10\seed_13_sample_01_true_gal_pred_retro_rollout.png,C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\results\explainability\attention_rollout_qwen\cross_attention\seed_13_first10\seed_13_sample_01_true_gal_pred_retro_cross_attention_tokens.csv
13,2,fairy,retro,0.09246732294559479,C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\FashionStyle14_v1\dataset2\fairy\d300e10aa2367f43fbd37beaa7cd0908.jpg,"The image features a woman in a colorful outfit, dressed in pink and purple clothing, with a purple skirt. She is wearing a polka dot dress, and her outfit is topped off with a cardigan. The woman is posing with a small handbag in her hand. Her shoes match her outfit, adding to the bright and colorful style.

This fashionable outfit can be classified as a casual and trendy style, with the woman's attire emphasizing individuality and creativity. The colorful clothing and the polka dot dress suggest a fun and playful vibe, while the cardigan adds a touch of sophistication and warmth to the overall look.",C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\results\explainability\attention_rollout_qwen\cross_attention\seed_13_first10\seed_13_sample_02_true_fairy_pred_retro_rollout.png,C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\results\explainability\attention_rollout_qwen\cross_attention\seed_13_first10\seed_13_sample_02_true_fairy_pred_retro_cross_attention_tokens.csv
13,3,street,retro,0.08959539979696274,C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\FashionStyle14_v1\dataset2\street\03ac59ccc2cbcc0a0e6ed90a9ec768e0.jpg,"The image features a young, happy woman wearing a black, white, and red checkered hat. She is also wearing a white shirt, red sleeves, and a gold bracelet. She is standing next to a fence, which adds a sense of depth to the scene.

The style of the woman's clothing can be classified as casual and hipster-inspired. The combination of black and white and the red checkered hat creates a unique and playful aesthetic. The gold bracelet adds a touch of elegance and sophistication to the overall look.",C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\results\explainability\attention_rollout_qwen\cross_attention\seed_13_first10\seed_13_sample_03_true_street_pred_retro_rollout.png,C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\results\explainability\attention_rollout_qwen\cross_attention\seed_13_first10\seed_13_sample_03_true_street_pred_retro_cross_attention_tokens.csv
13,4,rock,lolita,0.10447261482477188,C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\FashionStyle14_v1\dataset2\rock\12.jpg,"The image captures a young woman dressed in a unique and stylish outfit, wearing black leopard-print pants and a black and white coat. She is also carrying a handbag and wearing a black shirt. The woman's overall appearance evokes a sense of confidence and boldness.

The scene appears to be set in a parking lot with multiple vehicles, including cars and a truck. The cars can be seen in various positions, and a stop sign is also present in the area. The combination of the young woman's outfit and the urban setting creates a modern and fashionable vibe.",C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\results\explainability\attention_rollout_qwen\cross_attention\seed_13_first10\seed_13_sample_04_true_rock_pred_lolita_rollout.png,C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\results\explainability\attention_rollout_qwen\cross_attention\seed_13_first10\seed_13_sample_04_true_rock_pred_lolita_cross_attention_tokens.csv
13,5,mode,lolita,0.10163850337266922,C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\FashionStyle14_v1\dataset2\mode\tumblr_n4pa41X8yO1tp53kto1_500.jpg,"In the image, a woman is standing in the street, dressed in a long black dress. She is holding a purse to her side, and her outfit also includes a brown handbag. There are several people in the background, some of whom are closer to the woman, while others are further away.

A car can be seen on the street, parked in the background behind the woman. The outdoor scene suggests a casual yet stylish atmosphere. The woman's attire, combined with her handbag and the presence of other people in the background, indicates a blend of fashion and everyday life.",C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\results\explainability\attention_rollout_qwen\cross_attention\seed_13_first10\seed_13_sample_05_true_mode_pred_lolita_rollout.png,C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\results\explainability\attention_rollout_qwen\cross_attention\seed_13_first10\seed_13_sample_05_true_mode_pred_lolita_cross_attention_tokens.csv
13,6,rock,dressy,0.08966084569692612,C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\FashionStyle14_v1\dataset2\rock\lj11.jpg,"The image features a woman wearing a leather jacket, sunglasses, a white blouse, and black pants. She is standing on a street or sidewalk, posing for the camera. The woman's outfit has a strong and bold style, with the black pants adding contrast to the white blouse. The leather jacket adds a touch of edginess to her overall look. The sunglasses and the white blouse suggest a sense of individuality and confidence in her fashion choices.",C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\results\explainability\attention_rollout_qwen\cross_attention\seed_13_first10\seed_13_sample_06_true_rock_pred_dressy_rollout.png,C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\results\explainability\attention_rollout_qwen\cross_attention\seed_13_first10\seed_13_sample_06_true_rock_pred_dressy_cross_attention_tokens.csv
13,7,retro,retro,0.10153254866600037,C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\FashionStyle14_v1\dataset2\retro\compressed_94c17a0d-3968-48df-8063-7dec80f485f8.jpg,"The image features a woman in a dress, sitting on a concrete bench under a tree. The dress is checkered, giving the outfit a classic and casual style. She is holding a bucket in her hand, which suggests a playful or artistic element to her attire. The woman appears to be enjoying the outdoors, and her overall aesthetic can be described as vintage and laid-back. Her pose on the bench adds to the overall charming and whimsical atmosphere of the scene.",C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\results\explainability\attention_rollout_qwen\cross_attention\seed_13_first10\seed_13_sample_07_true_retro_pred_retro_rollout.png,C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\results\explainability\attention_rollout_qwen\cross_attention\seed_13_first10\seed_13_sample_07_true_retro_pred_retro_cross_attention_tokens.csv
13,8,dressy,retro,0.09041181951761246,C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\FashionStyle14_v1\dataset2\dressy\30282.jpg,"The image features a woman wearing a blue flowing dress with a black bow. The dress is long, reaching down to the lower part of her legs. She is standing in front of a backdrop, which adds to the overall aesthetic of the photo. The color palette of the outfit is predominantly blue, with the black bow adding a contrasting element. The style of the outfit can be described as a fusion of traditional and modern elements, with the blue flowing dress evoking a sense of elegance and the black bow adding a touch of sophistication. The overall aesthetic of the photo is elegant and stylish, showcasing the beauty of the woman dressed in this fashionable attire.",C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\results\explainability\attention_rollout_qwen\cross_attention\seed_13_first10\seed_13_sample_08_true_dressy_pred_retro_rollout.png,C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\results\explainability\attention_rollout_qwen\cross_attention\seed_13_first10\seed_13_sample_08_true_dressy_pred_retro_cross_attention_tokens.csv
13,9,kireime-casual,retro,0.0946381539106369,C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\FashionStyle14_v1\dataset2\kireime-casual\1604_05_front_02.jpg,"The image features a woman dressed in a blue shirt, jeans, and white purse. She is wearing glasses and posing for the photo. The woman's outfit appears to be casual and comfortable, with the blue shirt, jeans, and purse complementing each other. The glasses add a touch of personality to her overall look. The image has a simple and minimalist style, with the focus being on the woman's clothing and her pose.",C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\results\explainability\attention_rollout_qwen\cross_attention\seed_13_first10\seed_13_sample_09_true_kireime-casual_pred_retro_rollout.png,C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\results\explainability\attention_rollout_qwen\cross_attention\seed_13_first10\seed_13_sample_09_true_kireime-casual_pred_retro_cross_attention_tokens.csv
